"Relative Time","Hits"
"00:00","0"
"00:02","0"
"00:04","0"
"00:06","198"
"00:08","18"
"00:10","0"
"00:12","0"
"00:14","2.5"
"00:16","129.5"
"00:18","0"
"00:20","0"
"00:22","216"
"00:24","1.5"
"00:26","50.5"
"00:28","0"
"00:30","95"
"00:32","33"
"00:34","14"
"00:36","213"
"00:38","36"
"00:40","61"
"00:42","0"
"00:44","3"
"00:46","177"
"00:48","0"
"00:50","47"
"00:52","216"
"00:54","2"
"00:56","111"
"00:58","0"
"01:00","52.5"
"01:02","127.5"
"01:04","4.5"
"01:06","184.5"
"01:08","126"
"01:10","69"
"01:12","44"
"01:14","3"
"01:16","154"
"01:18","57"
"01:20","63"
"01:22","207"
"01:24","47"
"01:26","106"
"01:28","13"
"01:30","45"
"01:32","145"
"01:34","26.5"
"01:36","23.5"
"01:38","6"
"01:40","20.5"
"01:42","23.5"
"01:44","0"
