"Relative Time","Throughput"
"00:00","0"
"00:02","0"
"00:04","0"
"00:06","875370"
"00:08","79579"
"00:10","0"
"00:12","0"
"00:14","0"
"00:16","159159"
"00:18","0"
"00:20","1275161"
"00:22","0"
"00:24","7966"
"00:26","159158"
"00:28","53464"
"00:30","160395"
"00:32","0"
"00:34","1069273"
"00:36","319549"
"00:38","267320"
"00:40","0"
"00:42","0"
"00:44","213858"
"00:46","159159"
"00:48","104825"
"00:50","1336594"
"00:52","0"
"00:54","269424"
"00:56","159159"
"00:58","0"
"01:00","427709"
"01:02","0"
"01:04","588105"
"01:06","1014579"
"01:08","106928"
"01:10","374244"
"01:12","0"
"01:14","320784"
"01:16","186508"
"01:18","0"
"01:20","1281031"
"01:22","374244"
"01:24","467070"
"01:26","2106"
"01:28","53466"
"01:30","523872"
"01:32","340633.5"
"01:34","54695"
"01:36","82047"
"01:38","27350"
"01:40","68371.5"
"01:42","82048"
"01:44","0"
