"Relative Time","Add_to_Cart_Transaction","Buy_Item_Transaction","Home_page_Transaction","Login_Transaction","Logout_Transaction","vuser_end_Transaction","vuser_init_Transaction"
"00:00","","","","","","","0"
"00:02","","","1.738","","","",""
"00:08","","0.329","","","","",""
"00:10","","","","","","","0"
"00:12","","","1.55","","","",""
"00:14","0.438","","","","","",""
"00:16","0.43","0.342","1.441","0.575","0.295","",""
"00:18","","","1.482","","","",""
"00:20","","","4.84","","","","0"
"00:22","","0.323","1.448","","","",""
"00:24","0.458","0.331","","0.6","","",""
"00:26","","0.324","1.478","0.966","0.302","",""
"00:28","","","1.606","","","",""
"00:30","0.438","","","0.564","0.291","","0"
"00:32","","0.334","1.54","0.59","0.385","",""
"00:34","0.486","","2.032","0.629","0.34","",""
"00:36","","0.327","1.479","","0.286","",""
"00:38","","0.32","","","","",""
"00:40","0.445","","","0.588","0.296","","0"
"00:42","","0.328","1.663","","","",""
"00:44","0.437","","2.44","0.573","","",""
"00:46","0.464","0.331","1.447","0.639","0.294","",""
"00:48","","0.384","1.791","","","",""
"00:50","0.439","","2.95","0.608","0.289","","0"
"00:52","","0.308","1.468","","","",""
"00:54","0.436","0.339","","0.554","","",""
"00:56","0.418","0.327","1.489","0.577","0.284","",""
"00:58","","0.307","1.605","","","",""
"01:00","0.432","","","0.564","0.283","","0"
"01:02","0.433","0.324","1.488","0.576","0.286","",""
"01:04","0.524","0.389","1.584","0.575","","",""
"01:06","","0.321","1.465","0.609","0.284","",""
"01:08","","0.336","1.532","","","",""
"01:10","0.434","0.367","","0.62","0.284","","0"
"01:12","0.42","0.328","1.674","0.748","0.284","",""
"01:14","0.429","","1.674","0.563","","",""
"01:16","0.467","0.313","1.483","0.644","0.289","",""
"01:18","0.462","0.303","1.648","0.588","0.309","",""
"01:20","0.436","0.324","2.053","0.574","0.287","",""
"01:22","","0.326","1.467","","","",""
"01:24","0.423","0.323","2.699","0.532","","",""
"01:26","0.528","0.394","2.296","0.598","0.306","",""
"01:28","","0.303","1.504","0.566","0.283","",""
"01:30","0.44","0.383","1.547","0.571","0.282","0",""
"01:32","0.475","0.32","","0.607","0.343","0",""
"01:34","0.474","0.33","","0.649","0.322","0",""
"01:36","0.429","","","0.577","0.338","0",""
"01:38","0.953","","","","0.599","0",""
"01:40","0.429","","","0.699","0.319","0",""
"01:42","0.632","","","0.576","0.284","0",""
