"Relative Time","Hits"
"00:00","22.5"
"00:16","34.5"
"00:32","37.063"
"00:48","33.75"
"01:04","31.063"
"01:20","32.063"
"01:36","30.875"
"01:52","31.625"
"02:08","31.313"
"02:24","32.5"
"02:40","34.75"
"02:56","31.438"
"03:12","30.625"
"03:28","33.438"
"03:44","31.813"
"04:00","32.563"
"04:16","31.313"
"04:32","30.125"
"04:48","31.938"
"05:04","32.125"
"05:20","35.125"
"05:36","32.938"
"05:52","30.438"
"06:08","27"
"06:24","26.875"
"06:40","27.438"
"06:56","29.313"
"07:12","29.938"
"07:28","34.25"
"07:44","30.063"
"08:00","31.625"
"08:16","33.063"
"08:32","31.5"
"08:48","33.438"
"09:04","29.313"
"09:20","32.5"
"09:36","32.5"
"09:52","31.5"
"10:08","13.75"
