"Relative Time","Add_to_Cart_Transaction","Buy_Item_Transaction","Home_page_Transaction","Login_Transaction","Logout_Transaction","vuser_end_Transaction","vuser_init_Transaction"
"00:00","","0.319","1.864","","","","0"
"00:16","0.45","0.322","1.573","0.594","0.294","",""
"00:32","0.449","0.327","1.758","0.587","0.316","",""
"00:48","0.643","0.318","1.849","0.643","0.332","",""
"01:04","0.446","0.424","1.527","0.607","0.295","",""
"01:20","0.843","0.319","1.604","0.604","0.31","",""
"01:36","0.443","0.329","2.434","0.578","0.288","",""
"01:52","0.561","0.476","3.148","0.612","0.283","",""
"02:08","0.517","0.328","4.162","0.705","0.342","",""
"02:24","0.804","0.326","2.659","0.753","0.297","",""
"02:40","0.532","0.344","1.493","0.687","0.401","",""
"02:56","0.454","0.395","2.159","0.594","0.289","",""
"03:12","1.264","0.344","2.686","0.645","0.288","",""
"03:28","0.612","0.328","2.035","0.747","0.505","",""
"03:44","0.479","0.329","1.711","0.698","0.315","",""
"04:00","0.508","0.4","2.375","0.577","0.289","",""
"04:16","1.015","0.328","2.382","0.823","0.323","",""
"04:32","0.535","0.334","2.198","0.584","0.306","",""
"04:48","0.702","0.323","2.061","0.681","0.311","",""
"05:04","0.518","0.41","1.778","0.662","0.299","",""
"05:20","0.454","0.325","2.262","0.582","0.313","",""
"05:36","0.552","0.366","1.593","0.585","0.292","",""
"05:52","0.493","0.357","1.707","0.729","0.285","",""
"06:08","0.465","0.356","1.585","0.675","0.305","",""
"06:24","0.476","0.378","1.78","0.616","3.005","",""
"06:40","0.427","0.495","5.641","0.563","0.282","",""
"06:56","0.788","0.315","1.51","0.629","0.374","",""
"07:12","0.44","0.327","1.5","0.6","0.288","",""
"07:28","0.43","0.328","1.554","0.567","0.285","",""
"07:44","0.443","0.369","1.778","0.685","0.292","",""
"08:00","0.436","0.33","1.555","0.607","0.287","",""
"08:16","0.438","0.334","4.753","0.704","0.289","",""
"08:32","0.463","0.378","1.489","0.703","0.301","",""
"08:48","0.438","0.391","2.528","0.574","0.287","",""
"09:04","0.589","0.355","1.624","0.623","0.328","",""
"09:20","0.443","0.366","2.358","1.829","0.308","",""
"09:36","0.531","0.322","1.692","0.767","0.365","",""
"09:52","0.438","0.342","1.622","0.617","0.318","0",""
"10:08","0.43","","","0.668","0.308","0",""
